month,sales,cogs,gross_margin,gross_margin_pct
2024-01-01,1605278.0100000014,1058730.5800000008,546547.4300000002,0.34046901944417696
2024-02-01,1352870.33,902038.56,450831.7699999998,0.33324093226288715
2024-03-01,1523448.3399999999,1019251.7300000011,504196.61000000016,0.3309574711276394
2024-04-01,1532861.5899999947,1014499.4100000004,518362.1800000005,0.3381663311166942
2024-05-01,1440334.8999999994,959170.9200000017,481163.9799999999,0.3340639597082596
2024-06-01,1510373.6299999994,1011117.9500000001,499255.68000000046,0.3305511100587744
2024-07-01,1665738.1499999985,1106766.2099999983,558971.9399999997,0.33557011346591314
2024-08-01,1474953.6899999983,979205.9100000008,495747.77999999974,0.3361107425684669
2024-09-01,1315750.1099999975,869636.8700000024,446113.24000000034,0.3390562057410743
2024-10-01,1377874.7299999981,918294.6800000009,459580.049999999,0.3335426944073498
2024-11-01,1464477.3799999985,977872.840000001,486604.5399999995,0.33227180333778866
2024-12-01,1550581.920000002,1039379.849999999,511202.0699999995,0.3296840130832938
2025-01-01,1598074.5900000054,1064612.6299999997,533461.959999999,0.333815432232107
2025-02-01,1524099.6499999973,1006894.8400000022,517204.81000000046,0.33935104571410496
2025-03-01,1660983.3200000038,1106490.1599999978,554493.1600000001,0.3338342735434567
2025-04-01,1458603.4899999998,970452.5099999992,488150.9800000009,0.33467010283925824
2025-05-01,1505229.2699999982,1002001.2100000024,503228.060000001,0.33431987407473257
2025-06-01,1487904.5799999991,982834.0300000006,505070.5499999994,0.3394509008097816
2025-07-01,1442560.220000001,950808.6599999995,491751.55999999965,0.34088806358461715
2025-08-01,1551210.8300000015,1027366.1300000018,523844.69999999984,0.33770051747253427
2025-09-01,1352803.4600000028,899059.0199999999,453744.4400000013,0.3354104667946372
2025-10-01,1549923.9000000004,1030230.1899999997,519693.7099999998,0.3353027267983929
2025-11-01,1393662.6199999969,923987.170000001,469675.45000000106,0.33700799839203704
2025-12-01,1368959.2899999982,909838.1100000003,459121.1799999998,0.3353797175371084
2026-01-01,1500634.320000001,995597.9799999996,505036.34000000014,0.3365485736724986
2026-02-01,1454889.3299999973,955403.7800000006,499485.54999999935,0.3433151509881513
2026-03-01,57063.98000000002,38442.770000000004,18621.209999999995,0.3263216130385576
