date,sales,cogs,gross_margin,gross_margin_pct
2024-01-01,34321.66,22773.159999999996,11548.499999999998,0.3364784803532229
2024-01-02,78967.31,51852.49000000002,27114.819999999996,0.3433676542863116
2024-01-03,42565.700000000004,26784.960000000003,15780.74,0.37073841144395603
2024-01-04,67461.93,44706.99,22754.940000000002,0.33730045968148265
2024-01-05,36019.90000000001,23510.269999999993,12509.630000000001,0.34729774374720634
2024-01-06,48510.060000000005,32542.619999999995,15967.440000000002,0.3291572923224585
2024-01-07,77769.59,52538.97000000001,25230.62,0.3244278386963336
2024-01-08,45760.609999999986,32462.179999999997,13298.43,0.290608669770792
2024-01-09,19510.77,12363.309999999998,7147.459999999999,0.36633408112545013
2024-01-10,33773.880000000005,23158.99,10614.890000000001,0.3142928795862365
2024-01-11,56639.81999999999,35833.47,20806.350000000002,0.36734491740969527
2024-01-12,55142.249999999985,36023.509999999995,19118.74,0.34671671903123297
2024-01-13,61089.46000000001,39399.72999999999,21689.729999999992,0.3550486450526816
2024-01-14,42426.37999999999,26998.329999999998,15428.049999999996,0.3636428561663757
2024-01-15,39733.94999999998,26278.17,13455.779999999997,0.33864692536231616
2024-01-16,60422.55,40519.90000000001,19902.649999999994,0.3293910965359786
2024-01-17,62112.830000000016,41091.94999999998,21020.879999999997,0.3384305625745919
2024-01-18,33717.85,21669.090000000004,12048.76,0.35734069639671573
2024-01-19,57829.399999999994,39220.649999999994,18608.75,0.3217870149093714
2024-01-20,64118.500000000015,41059.20000000002,23059.3,0.35963567457130147
2024-01-21,57131.55999999998,36763.77999999999,20367.779999999995,0.3565066313610201
2024-01-22,39631.15000000001,26619.140000000007,13012.010000000002,0.32832784312340163
2024-01-23,52679.90999999998,34780.09999999999,17899.81,0.3397843694114133
2024-01-24,74056.9,49379.850000000035,24677.050000000007,0.33321743146148447
2024-01-25,41418.62,26533.959999999995,14884.66,0.35937121999718963
2024-01-26,74537.49000000002,48858.28,25679.21,0.3445140156986772
2024-01-27,54875.830000000016,36640.85,18234.979999999996,0.3322952928456843
